variant,seed,round,server_da_steps_per_round,server_da_total_steps_so_far,accuracy,macro_f1,nll,ece,mean_confidence,error_count,recall_class_0,recall_class_1,recall_class_2,recall_class_3,checkpoint_sha256,evaluation_seconds,evidence_status,test_used_for_selection
DA80,42,17,80,1360,0.9875,0.9875059155002911,0.08216683993928932,0.00973094478249554,0.9970134488361724,17,0.9970588235294118,0.9911764705882353,0.9794117647058823,0.9823529411764705,839cf591d82f75c4df2cd0f80e883fbe8c8f8fa8c3fb57531572eb713fe3afe1,0.6540373999159783,canonical_postflight_pass,False
DA80,42,18,80,1440,0.986764705882353,0.9867816318645241,0.07165447213458234,0.010464980847695218,0.9958952529465451,18,0.9705882352941176,0.9970588235294118,0.9852941176470589,0.9941176470588236,c2ae78e5e2258ffc630ecdd40d380fe400bb999cc573962fb8ea8516e92bff44,0.7425413999008015,canonical_postflight_pass,False
DA80,42,19,80,1520,0.9897058823529412,0.9897056932569647,0.08006076594965011,0.008374316815067733,0.9978098516955095,14,0.9970588235294118,0.9941176470588236,0.9823529411764705,0.9852941176470589,65412086009f189e30fe9c10bd4c2506b05a6f4fb3b79eed49328ea3124213c9,0.45097929995972663,canonical_postflight_pass,False
DA80,42,20,80,1600,0.9882352941176471,0.9882340001047266,0.08524112221692852,0.009550876564839326,0.9973292230683215,16,0.9970588235294118,0.9911764705882353,0.9794117647058823,0.9852941176470589,2d32e40247d498685395bf2984cf9dac0a360a378899b6cde25222acc2aefcee,0.9046726999804378,canonical_postflight_pass,False
DA80,42,21,80,1680,0.9860294117647059,0.9860547965051472,0.09880858894068072,0.012006905937896065,0.9977605659295531,19,0.9735294117647059,1.0,0.9852941176470589,0.9852941176470589,6367c86a85a72229fb6bb23f8861ca805ade763f7e5a233caa643576e776baad,0.5470047000562772,canonical_postflight_pass,False
DA80,42,22,80,1760,0.9882352941176471,0.9882348375838337,0.09898284322152463,0.010068170156549,0.9977259712622446,16,0.9941176470588236,1.0,0.9794117647058823,0.9794117647058823,219102f40cb39b0db6b7c353e822281ff0b02b46def28002f9897e9971c2ca8d,0.42309150006622076,canonical_postflight_pass,False
DA80,42,23,80,1840,0.9823529411764705,0.9823318432805219,0.10512245736903965,0.015491553483640456,0.9974479094585952,24,0.95,1.0,0.9852941176470589,0.9941176470588236,5d1b8569e32c97bc8e5be116d006968d685c8e383b78b4fd8ae0ee9d9efe56a1,0.7324363999068737,canonical_postflight_pass,False
DA80,42,24,80,1920,0.975735294117647,0.9756936553172233,0.14616713435162534,0.02141052427537307,0.9964098359293797,33,0.9323529411764706,0.9970588235294118,0.9852941176470589,0.9882352941176471,b0a278092d263e327c33d6b0fa97263196f5abc045069b9e470a68dfcd95ccbb,0.5641911000711843,canonical_postflight_pass,False
DA80,42,25,80,2000,0.9852941176470589,0.9853025677027257,0.10568670890637297,0.012612167877309443,0.9963229948983473,20,0.9676470588235294,1.0,0.9852941176470589,0.9882352941176471,400668a03fa0403031f31d4c85db48fb2a745444e9d0f99be2c296e6e065c3ad,0.762807699968107,canonical_postflight_pass,False
DA50,42,1,50,50,0.8463235294117647,0.8464871837450161,0.8228275279488461,0.3702362854691113,0.47647878742393324,209,0.8764705882352941,0.8794117647058823,0.6588235294117647,0.9705882352941176,50183eaecc0f5e83933dbd4a661677f2b4973ee199e9bd510fcfaeab5a4c727b,0.8342345000710338,canonical_postflight_pass,False
