step,source_ce,coral_loss,global_mmd2,adversarial_loss,weighted_coral,weighted_global_mmd2,weighted_adversarial,total_loss,target_batch_size,target_label_object_present,target_ce_status,class_conditional_coral_status,class_mmd_status,stage_mmd_status,target_proto_anchor_status,pseudo_label_status
50,0.003774756332859397,8.586156582168769e-06,0.08158326148986816,0.30223268270492554,4.2930782910843845e-06,0.04079163074493408,0.15111634135246277,0.19568702578544617,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
51,0.004196351394057274,1.042347230395535e-05,0.08592605590820312,0.28119945526123047,5.211736151977675e-06,0.04296302795410156,0.14059972763061523,0.18776431679725647,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
52,0.0027588624507188797,3.377146413185983e-06,0.04726302623748779,0.14178144931793213,1.6885732065929915e-06,0.023631513118743896,0.07089072465896606,0.0972827896475792,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
53,0.008849379606544971,4.856335181102622e-06,0.0483129620552063,0.13925066590309143,2.428167590551311e-06,0.02415648102760315,0.06962533295154572,0.10263362526893616,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
54,0.00375182693824172,3.862105586449616e-06,0.029637277126312256,0.11616687476634979,1.931052793224808e-06,0.014818638563156128,0.058083437383174896,0.07665583491325378,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
55,0.0047881524078547955,1.2639973647310399e-05,0.11800241470336914,0.35903844237327576,6.319986823655199e-06,0.05900120735168457,0.17951922118663788,0.24331489205360413,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
56,0.00353387207724154,8.172291018126998e-06,0.06384932994842529,0.22966699302196503,4.086145509063499e-06,0.031924664974212646,0.11483349651098251,0.15029612183570862,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
57,0.20555558800697327,5.439876076707151e-06,0.043202877044677734,0.18607822060585022,2.7199380383535754e-06,0.021601438522338867,0.09303911030292511,0.3201988637447357,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
58,0.06469538807868958,5.594275990006281e-06,0.06026178598403931,0.22791044414043427,2.7971379950031405e-06,0.030130892992019653,0.11395522207021713,0.2087842971086502,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
59,0.2396896779537201,2.4017056148295524e-06,0.020197570323944092,0.008619561791419983,1.2008528074147762e-06,0.010098785161972046,0.0043097808957099915,0.25409945845603943,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
60,0.039812229573726654,2.0667032458732137e-06,0.020886361598968506,0.08790409564971924,1.0333516229366069e-06,0.010443180799484253,0.04395204782485962,0.0942084938287735,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
61,0.0037611383013427258,2.9193408863648074e-06,0.030455827713012695,0.05183393508195877,1.4596704431824037e-06,0.015227913856506348,0.025916967540979385,0.04490748047828674,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
62,0.004124803002923727,4.361335868452443e-06,0.03490370512008667,0.06467501074075699,2.1806679342262214e-06,0.017451852560043335,0.032337505370378494,0.05391634255647659,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
63,0.006170707289129496,5.466708444146207e-06,0.06277304887771606,0.19920068979263306,2.7333542220731033e-06,0.03138652443885803,0.09960034489631653,0.1371603012084961,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
64,0.00326506863348186,3.7215265820123022e-06,0.06631749868392944,0.041577573865652084,1.8607632910061511e-06,0.03315874934196472,0.020788786932826042,0.05721446871757507,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
65,0.004781604744493961,5.76045340494602e-06,0.04805755615234375,0.12544682621955872,2.88022670247301e-06,0.024028778076171875,0.06272341310977936,0.09153667837381363,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
66,0.003376911859959364,7.111430022632703e-06,0.05737566947937012,0.19773009419441223,3.5557150113163516e-06,0.02868783473968506,0.09886504709720612,0.13093334436416626,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
67,0.188028946518898,3.0751423309993697e-06,0.029018163681030273,0.03401637822389603,1.5375711654996849e-06,0.014509081840515137,0.017008189111948013,0.21954774856567383,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
68,0.007808510214090347,6.6007228269882035e-06,0.0580066442489624,0.1489703357219696,3.3003614134941017e-06,0.0290033221244812,0.0744851678609848,0.11130030453205109,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
69,0.01347599271684885,4.049476046930067e-06,0.042356252670288086,0.056567832827568054,2.0247380234650336e-06,0.021178126335144043,0.028283916413784027,0.06294006109237671,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
70,0.017098212614655495,5.288127340463689e-06,0.033554673194885254,0.09699483215808868,2.6440636702318443e-06,0.016777336597442627,0.04849741607904434,0.08237560838460922,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
71,0.004819056950509548,5.243802206678083e-06,0.04075700044631958,0.04903806000947952,2.6219011033390416e-06,0.02037850022315979,0.02451903000473976,0.04971920698881149,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
72,0.0034313402138650417,4.532028924586484e-06,0.08030670881271362,0.04108825698494911,2.266014462293242e-06,0.04015335440635681,0.020544128492474556,0.06413108855485916,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
73,0.009886353276669979,4.961334525432903e-06,0.05993819236755371,0.1815362274646759,2.4806672627164517e-06,0.029969096183776855,0.09076811373233795,0.13062605261802673,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
74,0.010025053285062313,5.225357199378777e-06,0.04152655601501465,0.058940012007951736,2.6126785996893886e-06,0.020763278007507324,0.029470006003975868,0.06026095151901245,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
