client,class_id,gas,train_N,val_N,best_alpha,best_val_RMSE,alpha_audit,model,fit_N,calib_ratio,best_hidden,selected_mode,coaware_selected_mode,hybrid_selected_mode,passes_constraints,baseline_ALL_RMSE,ridge_ALL_RMSE,delta_ALL_RMSE,baseline_CO_RMSE,ridge_CO_RMSE,delta_CO_RMSE,baseline_nonCO_RMSE,ridge_nonCO_RMSE,delta_nonCO_RMSE,coaware_score,max_nonco_delta,mlp_ALL_RMSE,mlp_CO_RMSE,mlp_nonCO_RMSE
C4,,,,,,,,mlp,,20.0,,mlp_direct,mlp_direct,mlp_direct,1,10.754541991123656,,-10.747753633150793,13.34035860129856,,-13.336107604162612,9.74124437882771,,-9.73380000199637,-13.336107604162612,1.0,0.006788357972861946,0.004250997135948476,0.007444376831341251
C5,,,,,,,,mlp,,20.0,,mlp_direct,mlp_direct,mlp_direct,1,28.730250457324182,,-9.162232921494045,49.16296557040393,,-17.043981064030667,17.17276896412441,,-4.262823503232934,-17.043981064030667,1.0,19.568017535830137,32.11898450637326,12.909945460891475
C5,,,,,,,,mlp,,20.0,,mlp_direct,mlp_direct,mlp_direct,1,28.730250457324182,,-9.859402284670786,49.16296557040393,,-18.75854331378477,17.17276896412441,,-4.262737331545738,-18.75854331378477,1.0,18.870848172653396,30.404422256619156,12.91003163257867
C3,0,Ethanol,60,20,1.0,5.780569617370696,"[{""alpha"": 0.0, ""val_RMSE"": 10.05908817942678}, {""alpha"": 0.01, ""val_RMSE"": 8.346404456008536}, {""alpha"": 0.1, ""val_RMSE"": 7.63399408218365}, {""alpha"": 1.0, ""val_RMSE"": 5.780569617370696}, {""alpha"": 10.0, ""val_RMSE"": 6.428093385676397}, {""alpha"": 100.0, ""val_RMSE"": 8.393920774104332}, {""alpha"": 1000.0, ""val_RMSE"": 19.45224498284737}]",ridge,80,10.0,,,,,,,,,,,,,,,,,,,
C3,1,CO,60,20,10.0,14.071516164749294,"[{""alpha"": 0.0, ""val_RMSE"": 29.929998361539397}, {""alpha"": 0.01, ""val_RMSE"": 26.593320851603227}, {""alpha"": 0.1, ""val_RMSE"": 19.8339423761756}, {""alpha"": 1.0, ""val_RMSE"": 16.32675734100494}, {""alpha"": 10.0, ""val_RMSE"": 14.071516164749294}, {""alpha"": 100.0, ""val_RMSE"": 17.585080002812717}, {""alpha"": 1000.0, ""val_RMSE"": 37.59388453718274}]",ridge,80,10.0,,,,,,,,,,,,,,,,,,,
C3,2,Ethylene,60,20,0.1,7.91183733910426,"[{""alpha"": 0.0, ""val_RMSE"": 17.015637401908965}, {""alpha"": 0.01, ""val_RMSE"": 9.759193970926562}, {""alpha"": 0.1, ""val_RMSE"": 7.91183733910426}, {""alpha"": 1.0, ""val_RMSE"": 9.048082488699668}, {""alpha"": 10.0, ""val_RMSE"": 7.951352781567944}, {""alpha"": 100.0, ""val_RMSE"": 9.10705886644656}, {""alpha"": 1000.0, ""val_RMSE"": 18.320694859145288}]",ridge,80,10.0,,,,,,,,,,,,,,,,,,,
C3,3,Methane,60,20,0.01,4.414942669089007,"[{""alpha"": 0.0, ""val_RMSE"": 6.991030342669154}, {""alpha"": 0.01, ""val_RMSE"": 4.414942669089007}, {""alpha"": 0.1, ""val_RMSE"": 8.12073252284457}, {""alpha"": 1.0, ""val_RMSE"": 11.5673429231579}, {""alpha"": 10.0, ""val_RMSE"": 13.96811340285325}, {""alpha"": 100.0, ""val_RMSE"": 17.296097644822254}, {""alpha"": 1000.0, ""val_RMSE"": 32.292025819805374}]",ridge,80,10.0,,,,,,,,,,,,,,,,,,,
C4,0,Ethanol,30,10,1.0,6.57262037572467,"[{""alpha"": 0.0, ""val_RMSE"": 7.740576250133162}, {""alpha"": 0.01, ""val_RMSE"": 7.688930563950767}, {""alpha"": 0.1, ""val_RMSE"": 7.352511285113655}, {""alpha"": 1.0, ""val_RMSE"": 6.57262037572467}, {""alpha"": 10.0, ""val_RMSE"": 7.600562686364702}, {""alpha"": 100.0, ""val_RMSE"": 9.344934211644636}, {""alpha"": 1000.0, ""val_RMSE"": 20.707249622978225}]",ridge,40,10.0,,,,,,,,,,,,,,,,,,,
C4,1,CO,30,10,1.0,25.714775272616386,"[{""alpha"": 0.0, ""val_RMSE"": 28.0583690715938}, {""alpha"": 0.01, ""val_RMSE"": 27.98426486428952}, {""alpha"": 0.1, ""val_RMSE"": 27.429684819653552}, {""alpha"": 1.0, ""val_RMSE"": 25.714775272616386}, {""alpha"": 10.0, ""val_RMSE"": 27.274819631535212}, {""alpha"": 100.0, ""val_RMSE"": 32.318193316159324}, {""alpha"": 1000.0, ""val_RMSE"": 42.95968422408795}]",ridge,40,10.0,,,,,,,,,,,,,,,,,,,
C4,2,Ethylene,30,10,1.0,4.855025890716128,"[{""alpha"": 0.0, ""val_RMSE"": 7.047864975683821}, {""alpha"": 0.01, ""val_RMSE"": 6.7705468727501685}, {""alpha"": 0.1, ""val_RMSE"": 5.504900837737737}, {""alpha"": 1.0, ""val_RMSE"": 4.855025890716128}, {""alpha"": 10.0, ""val_RMSE"": 5.126077679591308}, {""alpha"": 100.0, ""val_RMSE"": 6.7754968020150415}, {""alpha"": 1000.0, ""val_RMSE"": 18.755793830874797}]",ridge,40,10.0,,,,,,,,,,,,,,,,,,,
C4,3,Methane,30,10,10.0,14.518425757868872,"[{""alpha"": 0.0, ""val_RMSE"": 20.619528126082056}, {""alpha"": 0.01, ""val_RMSE"": 20.551539694653428}, {""alpha"": 0.1, ""val_RMSE"": 20.520071804867747}, {""alpha"": 1.0, ""val_RMSE"": 16.208528550502137}, {""alpha"": 10.0, ""val_RMSE"": 14.518425757868872}, {""alpha"": 100.0, ""val_RMSE"": 17.587153731400225}, {""alpha"": 1000.0, ""val_RMSE"": 42.34213056178117}]",ridge,40,10.0,,,,,,,,,,,,,,,,,,,
C5,0,Ethanol,30,10,10.0,4.3038615420428235,"[{""alpha"": 0.0, ""val_RMSE"": 6.662126050369606}, {""alpha"": 0.01, ""val_RMSE"": 6.614617661332276}, {""alpha"": 0.1, ""val_RMSE"": 6.261039409104422}, {""alpha"": 1.0, ""val_RMSE"": 5.036018183874514}, {""alpha"": 10.0, ""val_RMSE"": 4.3038615420428235}, {""alpha"": 100.0, ""val_RMSE"": 9.235098093379992}, {""alpha"": 1000.0, ""val_RMSE"": 23.73824719954901}]",ridge,40,10.0,,,,,,,,,,,,,,,,,,,
C5,1,CO,30,10,100.0,22.92077551936432,"[{""alpha"": 0.0, ""val_RMSE"": 38.4867010152757}, {""alpha"": 0.01, ""val_RMSE"": 38.34738700249138}, {""alpha"": 0.1, ""val_RMSE"": 37.222489899832986}, {""alpha"": 1.0, ""val_RMSE"": 31.291460031822457}, {""alpha"": 10.0, ""val_RMSE"": 24.72292932689833}, {""alpha"": 100.0, ""val_RMSE"": 22.92077551936432}, {""alpha"": 1000.0, ""val_RMSE"": 47.2937340525176}]",ridge,40,10.0,,,,,,,,,,,,,,,,,,,
C5,2,Ethylene,30,10,10.0,2.3636621484170086,"[{""alpha"": 0.0, ""val_RMSE"": 7.348679997851036}, {""alpha"": 0.01, ""val_RMSE"": 7.14806476720279}, {""alpha"": 0.1, ""val_RMSE"": 5.92282914297943}, {""alpha"": 1.0, ""val_RMSE"": 3.2369820126119553}, {""alpha"": 10.0, ""val_RMSE"": 2.3636621484170086}, {""alpha"": 100.0, ""val_RMSE"": 5.272159996433787}, {""alpha"": 1000.0, ""val_RMSE"": 20.006934184941695}]",ridge,40,10.0,,,,,,,,,,,,,,,,,,,
