mode,split,scope,pred_key,N,RMSE,MAE,NRMSE,Bias,P90AE,calib_ratio,calibration_subset_fraction_of_20pct
H8_plus_C4_forced_lowcal,test,C5,h8_lowcal_plus_c4_ppm,1360,30.831975316518324,13.62121648634647,0.2184901242072096,1.0969298759802473,32.69694875983937,10.0,0.5
H8_plus_C4_forced_lowcal,test,C5-CO,h8_lowcal_plus_c4_ppm,340,32.44761358448516,24.34465011523699,0.14421161593104515,-5.0218814344038805,48.107016104150404,10.0,0.5
H8_plus_C4_forced_lowcal,test,C5-CO_low_25_100,h8_lowcal_plus_c4_ppm,136,25.22149644214875,19.723375964403626,0.11209553974288335,9.95963525062502,37.5,10.0,0.5
H8_plus_C4_forced_lowcal,test,C5-CO_mid_125_175,h8_lowcal_plus_c4_ppm,102,25.668998672703093,19.090566068555933,0.11408443854534708,5.5056194474435936,33.53765441603912,10.0,0.5
H8_plus_C4_forced_lowcal,test,C5-CO_high_200_250,h8_lowcal_plus_c4_ppm,102,44.74851306124659,35.760433029695875,0.19888228027220706,-35.52473789628989,57.082277398417446,10.0,0.5
H8_plus_C4_forced_lowcal,test,C5-nonCO,h8_lowcal_plus_c4_ppm,1020,30.274275000102612,10.046738610049625,0.23815593444553945,3.13653364610829,15.942175221614415,10.0,0.5
H8_plus_C4_forced_lowcal,test,nonCO_ALL,h8_lowcal_plus_c4_ppm,4050,21.21419487234912,8.558526470526402,0.1581198807615807,1.065312115896462,16.56101839717734,10.0,0.5
H8_C4_selector_lowcal,test,ALL,selector_lowcal_ppm,5400,23.230176160352496,11.205141151767997,0.15446741666354125,-0.14900251825131733,25.96736389586583,10.0,0.5
H8_C4_selector_lowcal,test,C3,selector_lowcal_ppm,2680,21.11570244753583,10.995761400923161,0.13106771754534283,-0.6373445143412194,25.795786280410695,10.0,0.5
H8_C4_selector_lowcal,test,C3-CO,selector_lowcal_ppm,670,24.968940237585453,17.291823856984585,0.11097306772260203,-6.4733358268178565,41.29295746230952,10.0,0.5
H8_C4_selector_lowcal,test,C3-CO_low_25_100,selector_lowcal_ppm,268,14.395423015758961,10.372203488569196,0.0639796578478176,-2.2117984351148485,23.740103649321973,10.0,0.5
H8_C4_selector_lowcal,test,C3-CO_mid_125_175,selector_lowcal_ppm,201,27.58523395962603,20.03183822734347,0.1226010398205601,-3.583466706023964,42.470711283788546,10.0,0.5
H8_C4_selector_lowcal,test,C3-CO_high_200_250,selector_lowcal_ppm,201,32.26314488105922,23.777969977846222,0.14339175502692986,-15.04525480321576,50.0,10.0,0.5
H8_C4_selector_lowcal,test,C3-nonCO,selector_lowcal_ppm,2010,19.664211000557746,8.897073915569354,0.1371130489418833,1.307985923150993,17.808127634622224,10.0,0.5
H8_C4_selector_lowcal,test,C4,selector_lowcal_ppm,1360,18.849330365671506,9.655632915406343,0.11110699013247297,0.1523514107752421,23.064756287664064,10.0,0.5
H8_C4_selector_lowcal,test,C4-CO,selector_lowcal_ppm,340,30.113025189013317,18.525130005734198,0.13383566750672585,2.966752437524144,39.15471089210678,10.0,0.5
H8_C4_selector_lowcal,test,C4-CO_low_25_100,selector_lowcal_ppm,136,17.73408680422259,12.584945142914378,0.07881816357432261,8.425556750647997,26.120620574652023,10.0,0.5
