requested_coverage,coverage,N,RMSE,NRMSE_range,MAE,max_accepted_risk,scope
0.22,0.21985294117647058,299,10.939406774124622,0.0486356379540536,7.742725968720839,0.2287318382830551,C4
0.23,0.22941176470588234,312,10.798316709211209,0.04800810319479273,7.657963847475169,0.249400055864109,C4
0.24,0.23970588235294119,326,10.6101640388441,0.04718197461360447,7.498750772956365,0.2686752813599198,C4
0.25,0.25,340,10.463648006526808,0.04657903714231186,7.376176938770542,0.2872036966206091,C4
0.26,0.2595588235294118,353,10.292968401753297,0.04595698847785302,7.208624013227002,0.3399555241859937,C4
0.27,0.2698529411764706,367,10.106067787146731,0.04527210334075456,7.008597707465059,0.380892478205225,C4
0.28,0.27941176470588236,380,9.931737329305019,0.044491692902838824,6.770560090038693,0.3843424357208139,C4
0.29,0.2897058823529412,394,9.756079393252907,0.04373622432071701,6.551281688682312,0.3886446120978538,C4
0.3,0.3,408,9.602453686686419,0.043246913849692196,6.3691656524998255,0.3919639871691385,C4
0.31,0.3095588235294118,421,9.459306776689077,0.04268389967267759,6.221435751069596,0.3994142519305688,C4
0.32,0.31985294117647056,435,9.313848462249636,0.0421314156647542,6.077970785786839,0.4063073426910764,C4
0.33,0.32941176470588235,448,9.183633597977558,0.041618837107718736,5.946257933634958,0.4157085088628167,C4
0.34,0.3397058823529412,462,9.049433917890996,0.04108819919234425,5.811046223069733,0.4230272525040443,C4
0.35,0.3492647058823529,475,8.93513313703474,0.0407025952176866,5.7063093244903556,0.4290182303782088,C4
0.36,0.35955882352941176,489,13.897317880453897,0.06250047147137126,6.089105690245263,0.4380971508708007,C4
0.37,0.3698529411764706,503,13.710238128752037,0.06175948886894371,5.980646811773055,0.4471250505927582,C4
0.38,0.37941176470588234,516,13.54280032689209,0.06108821047931777,5.8843713055449,0.4500324500475026,C4
0.39,0.3897058823529412,530,13.368377614006961,0.06037474479981788,5.777070706352704,0.4600138945536297,C4
0.4,0.4,544,13.200765325338944,0.05968946405895306,5.67961246154391,0.4675813891784507,C4
0.41,0.40955882352941175,557,13.05137190446659,0.05908597161050568,5.598628093936575,0.4768637380817691,C4
0.42,0.4198529411764706,571,12.895127652121735,0.05843995256890817,5.498671382737308,0.487443119697599,C4
0.43,0.4294117647058823,584,12.757796417293388,0.057907812076979925,5.43192003614367,0.4940286121383163,C4
0.44,0.43970588235294117,598,12.615811172845273,0.057369215594132994,5.364810891579782,0.506082228932711,C4
0.45,0.45,612,12.488287045258875,0.05701459342093928,5.318855433787899,0.5136362375873599,C4
0.46,0.45955882352941174,625,12.367403516946824,0.05658582175301417,5.263752688460348,0.5274030793467346,C4
0.47,0.4698529411764706,639,12.245807236044804,0.056214812342508226,5.212914857902502,0.5408795939129708,C4
0.48,0.47941176470588237,652,12.134911223788768,0.05585441678993984,5.162234252138384,0.5512046770368282,C4
0.49,0.48970588235294116,666,12.057450082692737,0.05555341396793323,5.150443411466638,0.561028499241514,C4
0.5,0.5,680,11.95378130903468,0.05513260174739429,5.115440470003644,0.5745090360251605,C4
0.51,0.5095588235294117,693,11.86823772745071,0.05484913496614327,5.084957607787141,0.5829071983119799,C4
0.52,0.5198529411764706,707,11.76450601784809,0.05436832602569007,5.0302202144992965,0.5979590291657041,C4
0.53,0.5294117647058824,720,11.702462472749147,0.05408868981311186,5.03132308604473,0.6064289212823221,C4
0.54,0.5397058823529411,734,11.611262993660715,0.053666149109910036,4.989896800498547,0.6139997062333286,C4
0.55,0.55,748,11.514919669668922,0.053238693440441714,4.9301656661019395,0.618692277183147,C4
0.56,0.5595588235294118,761,11.48530542671305,0.053082193575059416,4.92236897039548,0.6253824259633103,C4
0.57,0.5698529411764706,775,11.402128467240223,0.052720473941068935,4.892096700891985,0.6332919421886211,C4
