candidate,scope,final_n,final_rmse,final_mae,final_nrmse_range,final_p90ae,final_p95ae,final_bias,final_route_acc,raw_n,raw_rmse,raw_mae,raw_nrmse_range,raw_p90ae,raw_p95ae,raw_bias,raw_route_acc
M3_S2_tcnadapter_k3g005,C4_CO_high,24,29.03072348986662,26.485771623750527,0.12902543773274056,39.9764983355999,46.84695236384867,-14.702322147786617,1.0,24,29.03072348986662,26.485771623750527,0.12902543773274056,39.9764983355999,46.84695236384867,-14.702322147786617,1.0
M3_S2_tcnadapter_k3g005,C4_nonCO,240,18.79403811123959,10.886193380598948,0.11280300076931167,27.311676666140556,36.21343731880188,-5.289940139603761,0.9958333333333333,240,18.79403811123959,10.886193380598948,0.11280300076931167,27.311676666140556,36.21343731880188,-5.289940139603761,0.9958333333333333
M3_S2_tcnadapter_k3g005,C5_ALL,320,34.95258851195948,18.960662422796304,0.22033373427825217,47.166195102036006,71.65718302130699,-3.856911620714526,0.953125,320,34.95258851195948,18.960662422796304,0.22033373427825217,47.166195102036006,71.65718302130699,-3.856911620714526,0.953125
M3_S2_tcnadapter_k3g005,C5_CO,80,54.60298872076522,37.47708942202735,0.24267994987006766,83.27079892158513,106.03923439979549,-16.05497977390769,0.9125,80,54.60298872076522,37.47708942202735,0.24267994987006766,83.27079892158513,106.03923439979549,-16.05497977390769,0.9125
M3_S2_tcnadapter_k3g005,C5_CO_high,24,74.04637862958187,51.99150830109526,0.3290950161314749,100.43630763888358,117.55672574043271,-45.240985995527204,0.9166666666666666,24,74.04637862958187,51.99150830109526,0.3290950161314749,100.43630763888358,117.55672574043271,-45.240985995527204,0.9166666666666666
M3_S2_tcnadapter_k3g005,C5_nonCO,240,25.200842562008614,12.78852008971929,0.2123631008242402,31.44380610436201,39.554850105196216,0.20911109701652725,0.9666666666666667,240,25.200842562008614,12.78852008971929,0.2123631008242402,31.44380610436201,39.554850105196216,0.20911109701652725,0.9666666666666667
M4_T9fix_shared_trunk,ALL,1320,30.34608808729831,18.73775191554573,0.18559233663687644,37.50466077680728,51.71592718049249,-1.931154936042469,0.9818181818181818,1320,33.23429882875549,21.569003205381293,0.21209736649784594,47.269375100731914,62.370133325457566,-0.6733116801302512,0.9818181818181818
M4_T9fix_shared_trunk,CO,330,42.240428806227754,27.02614039263327,0.18773523913879,62.36437353822132,86.57583122293353,1.22330916101191,0.9727272727272728,330,43.837278956026566,29.94074845270282,0.1948323509156736,65.42391344904914,92.49064649455252,-0.7683581639448117,0.9727272727272728
M4_T9fix_shared_trunk,CO_high,99,48.170216237372614,28.276693678812737,0.2140898499438783,51.19820554802159,73.24544443066956,-20.852974789558612,0.9797979797979798,99,46.69693593041447,29.670036646227043,0.20754193746850874,51.79058581590653,65.63847586512561,-17.06782283844671,0.9797979797979798
M4_T9fix_shared_trunk,nonCO,990,25.161388561804227,15.974955756516549,0.18487251612831657,32.027643926435026,40.780715402641235,-2.9826429683939293,0.9848484848484849,990,28.846533288465157,18.778421456274117,0.21754809930829716,41.52945585548878,53.49824659526346,-0.6416295188587308,0.9848484848484849
M4_T9fix_shared_trunk,C3_ALL,680,26.112860498835957,16.77222626253783,0.16356575936979997,34.67631214831009,44.61617694020489,-4.444801731059074,0.9882352941176471,680,29.38241046943769,19.486554337747613,0.1922274842281796,41.947511658072465,59.10014629364011,-2.40037044386982,0.9882352941176471
