mode,split,scope,pred_key,N,RMSE,MAE,NRMSE,Bias,P90AE,delta_RMSE_vs_baseline,delta_MAE_vs_baseline,delta_NRMSE_vs_baseline,delta_P90AE_vs_baseline,delta_Bias_vs_baseline
source_ridge_forced_ridge_phase,test,C3-CO_mid_125_175,corrected_ppm,201,16.604400067870788,10.115810610452828,0.07379733363498127,1.9031791427559221,17.42472814455965,-18.16641188081955,-13.456464217552513,-0.08073960835919801,-38.369126449671,-1.7943528199464531
source_ridge_forced_ridge_phase,test,C3-CO_high_200_250,corrected_ppm,201,21.503136884856364,11.29491310352681,0.09556949726602827,-7.3386741259224895,21.550788790042816,-20.19530561828034,-12.341344049625867,-0.0897569138590237,-21.3501549660607,0.8963835968546388
source_ridge_forced_ridge_phase,test,C3-nonCO,corrected_ppm,2010,13.050724472887694,4.899505382949397,0.11259197575178022,0.39909087650275055,9.049485180861275,1.29785209162028,-2.952053771190273,0.01835628929963376,-8.936625864022464,0.10148274861399975
source_ridge_forced_ridge_phase,test,C4,corrected_ppm,1360,27.713542776591623,8.391413513854687,0.12808340556694975,-2.555157885224951,14.902140475675559,-2.8973304459451725,-4.666792463679531,-0.023927299816017877,-12.25137079520514,-1.074902876399138
source_ridge_forced_ridge_phase,test,C4-CO,corrected_ppm,340,53.93941177438127,21.156371299083784,0.23973071899725013,-9.908383170074702,29.081785083542737,-2.649020115659866,-6.153010735601022,-0.011773422736266026,-22.26397454666056,-2.4795714513649347
source_ridge_forced_ridge_phase,test,C4-CO_low_25_100,corrected_ppm,136,9.494303329153553,6.539069885732435,0.042196903685126894,4.560315142714456,16.32172076287113,-10.524244934807356,-3.8733892688124003,-0.04677442193247715,-8.96131524560608,1.5209863849998668
source_ridge_forced_ridge_phase,test,C4-CO_mid_125_175,corrected_ppm,102,17.168644769362988,13.477183764142557,0.07630508786383551,2.1940438077502136,31.852067723739918,-15.310399448287537,-11.655720795523477,-0.06804621977016682,-21.291069969665248,-2.65756594558501
source_ridge_forced_ridge_phase,test,C4-CO_high_200_250,corrected_ppm,102,96.34961884233375,48.3252940518268,0.42822052818814993,-41.30240789828516,237.5,1.0345759591388912,-3.6897959647300667,0.004598115373950495,3.695772928185761,-7.635654072297925
source_ridge_forced_ridge_phase,test,C4-nonCO,corrected_ppm,1020,7.364366240069671,4.136427585444986,0.05212362706608349,-0.10408279027503389,10.069274060536987,-6.124538015046289,-4.171386373039036,-0.04649125500046353,-9.050436153899067,-0.6066800180772053
source_ridge_forced_ridge_phase,test,C5,corrected_ppm,1360,30.75896666603462,10.499767602389415,0.22556653441920002,0.6769190057894314,20.8234591156587,-4.827732490002031,-6.176476867233749,-0.0016536641346191205,-18.69954316612632,2.498710983318599
source_ridge_forced_ridge_phase,test,C5-CO,corrected_ppm,340,26.839890155391178,17.240605527735223,0.11928840069062745,-3.302148034562758,37.5,-19.275591588141,-15.632453523266552,-0.08566929594729335,-30.4931676387787,4.172047694720968
source_ridge_forced_ridge_phase,test,C5-CO_low_25_100,corrected_ppm,136,24.655764421707694,16.148289982545936,0.10958117520758977,-1.8329259118027306,37.5,-8.062294697064601,-7.399615046991329,-0.035832420875842666,-11.49037666618824,-7.681209152346957
source_ridge_forced_ridge_phase,test,C5-CO_mid_125_175,corrected_ppm,102,26.803834934400328,18.246271600227796,0.11912815526400147,0.8272617063809341,42.11919102060541,-18.594601050973246,-17.651901367455945,-0.08264267133765887,-33.396016031625436,-6.5832560129559425
source_ridge_forced_ridge_phase,test,C5-CO_high_200_250,corrected_ppm,102,29.53434981558431,17.691360182161706,0.1312637769581525,-9.390520605853153,30.728324854978975,-30.469641786720484,-24.590123647444106,-0.13542063016320216,-55.08996041654643,30.73169386515511
source_ridge_forced_ridge_phase,test,C5-nonCO,corrected_ppm,1020,31.95870469786206,8.252821627274146,0.25119137674969716,2.003274685906828,9.7977237249797,0.6589977191964351,-3.0244846485561467,0.01702020209874086,-8.782786705058282,1.9409320795178095
source_ridge_forced_ridge_phase,test,nonCO_ALL,corrected_ppm,4050,18.852583296358315,5.551861732518963,0.15121804663545846,0.6763823198308538,9.551878041804992,-0.1503141913895938,-3.2773867955850697,0.0074574538700312165,-9.054346390782628,0.386399364786063
source_ridge_val_selected,test,ALL,corrected_ppm,5400,22.616626276719135,7.7698973642156215,0.1491964736150363,-0.5051978527407461,14.496704342714157,-4.719645729891198,-5.228996312951912,-0.008637221679453216,-13.342524391659893,0.2588229979503962
source_ridge_val_selected,test,C3,corrected_ppm,2680,13.960522092399877,5.65528015647811,0.10253298003424571,-0.06462952188373235,10.712933916878852,-5.725358983984982,-5.447396428809444,-0.008232058822650282,-13.584306608605226,-0.20085015908918186
source_ridge_val_selected,test,C3-CO,corrected_ppm,670,17.038282687127218,8.056372992816131,0.07572570083167653,-1.6120246836296288,15.351932020221838,-16.662542634861484,-12.799655885915078,-0.07405574504382882,-26.912872223819605,-1.2640828487851745
source_ridge_val_selected,test,C3-CO_low_25_100,corrected_ppm,268,8.471735210760238,4.443019460143453,0.03765215649226771,0.19638683315586764,10.60954566860104,-16.598904298216176,-12.290653750816052,-0.0737729079920719,-19.25176479107237,-2.3369028997890613
source_ridge_val_selected,test,C3-CO_mid_125_175,corrected_ppm,201,20.33704071710942,10.185183547882362,0.0903868476315974,1.2904986203341322,15.387056164774322,-14.433771231580916,-13.387091280122979,-0.06415009436258187,-40.40679842945633,-2.4070333423682433
source_ridge_val_selected,test,C3-CO_high_200_250,corrected_ppm,201,21.40999691695099,10.745367147980133,0.09515554185311552,-6.925763343307385,22.694728192626116,-20.288445586185713,-12.890890005172544,-0.09017086927193645,-20.2062155634774,1.3092943794697431
source_ridge_val_selected,test,C3-nonCO,corrected_ppm,2010,12.770821318446739,4.854915877698769,0.11002676373253242,0.45116886536489964,9.049485180861275,1.0179489371793249,-2.996643276440901,0.015791077280385965,-8.936625864022464,0.15356073747614885
source_ridge_val_selected,test,C4,corrected_ppm,1360,26.018800267151462,9.155583930080441,0.12773196860653532,-2.33344369550039,17.626445364465784,-4.592072955385333,-3.902622047453777,-0.024278736776432303,-9.527065906414915,-0.853188686674577
source_ridge_val_selected,test,C4-CO,corrected_ppm,340,48.353722232129904,19.896689939980156,0.21490543214279956,-8.405236894466382,29.081785083542737,-8.234709657911232,-7.412692094704649,-0.036598709590716594,-22.26397454666056,-0.9764251757566154
source_ridge_val_selected,test,C4-CO_low_25_100,corrected_ppm,136,9.704352484156617,6.66066877558003,0.04313045548514052,5.047378544128585,16.603853710021802,-10.314195779804292,-3.751790378964806,-0.04584087013246352,-8.679182298455409,2.0080497864139955
source_ridge_val_selected,test,C4-CO_mid_125_175,corrected_ppm,102,17.168644769362988,13.477183764142557,0.07630508786383551,2.1940438077502136,31.852067723739918,-15.310399448287537,-11.655720795523477,-0.06804621977016682,-21.291069969665248,-2.65756594558501
