experiment,scope,group_level,group_value,N,RMSE,MAE,Bias,R2,formal_RMSE_abs_difference
A_OLD_CKPT_OLD_DATA,S_CC,concentration,Methane:200,34,14.094349308734728,8.313655466685617,3.8241520742105934,nan,
A_OLD_CKPT_OLD_DATA,S_CC,concentration,Methane:225,34,10.208608867911082,8.202846571781159,-2.4520233838572922,nan,
A_OLD_CKPT_OLD_DATA,S_CC,concentration,Methane:250,34,9.474364770168364,7.014948809601612,-7.014948809601612,nan,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,all,all,1360,12.013208593833228,6.983101535620333,-0.12673307578890466,0.9672326401205757,0.0
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,gas,CO,340,15.962721684792758,11.766207754652015,-2.077186202123486,0.9505825971226854,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,concentration,CO:25,34,6.392557525973983,2.8533716516250096,2.8533716516250096,nan,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,concentration,CO:50,34,14.19653887266863,11.753326688465084,-2.6700651420338533,nan,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,concentration,CO:75,34,18.70737522755632,15.102387092204836,7.31911172589505,nan,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,concentration,CO:100,34,15.179637338148973,11.417686473673761,5.068870237649129,nan,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,concentration,CO:125,34,12.726418109839438,9.386995177729423,4.07626053022778,nan,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,concentration,CO:150,34,13.311965191542473,10.903901554017564,4.059271045353585,nan,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,concentration,CO:175,34,17.058915503809246,11.651493157174672,-8.480232842060136,nan,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,concentration,CO:200,34,18.519572116237516,15.586778500310492,-5.169957198447484,nan,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,concentration,CO:225,34,22.819934511539685,17.79993436061872,-16.622289138743355,nan,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,concentration,CO:250,34,15.211520461159163,11.206202890700588,-11.206202890700588,nan,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,gas,Ethanol,340,9.100783135045218,4.9707148109003025,0.9831703465290631,0.9357484577581587,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,concentration,Ethanol:12.5,34,3.819440978733011,2.1525731931957544,2.1525731931957544,nan,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,concentration,Ethanol:25,34,7.612885232332196,4.518181253370939,2.3340068819824857,nan,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,concentration,Ethanol:37.5,34,20.582144976879995,10.429392983073233,8.602571286744334,nan,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,concentration,Ethanol:50,34,5.874352409886896,3.8307244274456775,0.4045202542789453,nan,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,concentration,Ethanol:62.5,34,8.216576160923392,5.216047029135037,5.1264527351791775,nan,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,concentration,Ethanol:75,34,7.665777250086167,5.905696148663449,-2.6664166554820423,nan,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,concentration,Ethanol:87.5,34,7.976769411245367,5.225475586456794,4.222912751436359,nan,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,concentration,Ethanol:100,34,6.489752039474908,5.168940901497168,-3.939976518026157,nan,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,concentration,Ethanol:112.5,34,6.357807827251027,4.627019518160024,-3.771843396013268,nan,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,concentration,Ethanol:125,34,5.012181249436337,2.633097068004957,-2.633097068004957,nan,
