preprocessing,client,gas,true_ppm,N,Oracle_RMSE,MAE,Bias,R2
legacy,C3,Ethylene,112.5,67,9.935972935969296,6.041652919022839,-1.764377010862123,nan
legacy,C3,Ethylene,125.0,67,13.72597084094183,8.394559203099522,-8.394559203099522,nan
legacy,C3,Methane,25.0,67,3.4803238427605616,2.433821725659042,2.433821725659042,nan
legacy,C3,Methane,50.0,67,4.4556825052450675,3.427620509289249,-1.3929903307350755,nan
legacy,C3,Methane,75.0,67,3.912734037915775,2.331384776048722,-0.4510057531402556,nan
legacy,C3,Methane,100.0,67,4.5504206015774935,2.7529810370904264,1.6679426188811333,nan
legacy,C3,Methane,125.0,67,4.782802685797935,3.1484805296324785,1.2044499579765062,nan
legacy,C3,Methane,150.0,67,4.100155085897296,2.282780260766743,1.0122945596745836,nan
legacy,C3,Methane,175.0,67,5.57731692788574,4.191960193405853,1.7141691467420375,nan
legacy,C3,Methane,200.0,67,5.295470505968353,3.4576216556922676,-0.3337546717708403,nan
legacy,C3,Methane,225.0,67,4.323011853664195,2.872440490284927,-0.10988255410053915,nan
legacy,C3,Methane,250.0,67,7.457619401852603,4.510711144327444,-4.510711144327444,nan
legacy,C4,CO,25.0,34,2.3303303906461803,0.9928424289192447,0.9928424289192447,nan
legacy,C4,CO,50.0,34,6.884012000891646,5.469963547456901,2.7166877049210925,nan
legacy,C4,CO,75.0,34,10.275788936471137,8.67972277268772,7.059303373716226,nan
legacy,C4,CO,100.0,34,14.533479482943916,13.239538546142018,11.540126239727167,nan
legacy,C4,CO,125.0,34,23.92488025670863,21.125184387097885,21.125184387097885,nan
legacy,C4,CO,150.0,34,11.700986901097892,9.189072480087447,-6.186786153246068,nan
legacy,C4,CO,175.0,34,22.820516497225295,21.353169469591748,-21.353169469591748,nan
legacy,C4,CO,200.0,34,13.039639051958064,9.83579659636763,6.628845196302579,nan
legacy,C4,CO,225.0,34,11.098617733829471,8.938456136354292,1.9066446000000445,nan
legacy,C4,CO,250.0,34,21.88466072279877,17.12802234466133,-17.12802234466133,nan
legacy,C4,Ethanol,12.5,34,10.245825610860061,6.33331664282054,6.33331664282054,nan
legacy,C4,Ethanol,25.0,34,23.182660713277304,15.228059378336388,13.040651007340037,nan
legacy,C4,Ethanol,37.5,34,9.88936971783674,8.310473617636537,6.757670031443307,nan
legacy,C4,Ethanol,50.0,34,10.202648664480694,8.137777647947546,7.534975749632826,nan
legacy,C4,Ethanol,62.5,34,15.207421560961174,12.31181542787112,6.763308727128299,nan
legacy,C4,Ethanol,75.0,34,8.84191441146491,7.604259112162695,2.178414955222434,nan
legacy,C4,Ethanol,87.5,34,11.548873517698137,9.576076708638421,0.2352555115142699,nan
legacy,C4,Ethanol,100.0,34,15.76919226377011,11.86559292257147,-6.029732998849674,nan
legacy,C4,Ethanol,112.5,34,15.971274606616005,13.218157763704406,-7.202350787850851,nan
legacy,C4,Ethanol,125.0,34,30.007159784756723,13.222480605491818,-13.222480605491818,nan
legacy,C4,Ethylene,12.5,34,0.367705861856929,0.06306103505707013,0.06306103505707013,nan
legacy,C4,Ethylene,25.0,34,2.6341370328917892,2.1880978058435496,-1.5869283951302169,nan
legacy,C4,Ethylene,37.5,34,2.3731545983357623,1.9415418870084404,0.9978299167120463,nan
legacy,C4,Ethylene,50.0,34,1.884149704585809,1.216845280981957,0.11522756669527216,nan
legacy,C4,Ethylene,62.5,34,4.8794319295083275,4.105909581015053,4.071060395466246,nan
legacy,C4,Ethylene,75.0,34,3.435112907341424,2.5876462703662266,0.3645807674911443,nan
legacy,C4,Ethylene,87.5,34,3.389743957082394,2.125804085844117,0.1294442379953726,nan
legacy,C4,Ethylene,100.0,34,3.0742994040291554,2.093562933324061,0.40062640743783695,nan
legacy,C4,Ethylene,112.5,34,4.519880470983272,3.581550053481569,-2.2671326205479922,nan
legacy,C4,Ethylene,125.0,34,6.4381087925071885,5.0081710896973775,-5.0081710896973775,nan
legacy,C4,Methane,25.0,34,2.7864708911703624,1.5189545130181468,1.5189545130181468,nan
legacy,C4,Methane,50.0,34,6.036387559107348,4.810395505522771,0.5354284510275216,nan
legacy,C4,Methane,75.0,34,5.038611342464498,3.868126398249506,2.0225122494922503,nan
legacy,C4,Methane,100.0,34,7.659811488957866,5.723675911087846,3.1110726621350304,nan
legacy,C4,Methane,125.0,34,7.489473639250442,5.472997479040949,-2.234897880850852,nan
legacy,C4,Methane,150.0,34,7.839603177465176,4.375075163768795,1.6242818982676865,nan
legacy,C4,Methane,175.0,34,22.189751065864982,12.162719945615398,-0.09418583694271543,nan
legacy,C4,Methane,200.0,34,13.867378271870262,9.137411929325541,5.267602181233084,nan
legacy,C4,Methane,225.0,34,13.125475665422597,8.84392300384673,-2.437168053622987,nan
legacy,C4,Methane,250.0,34,10.349958642913364,7.119158644926649,-7.119158644926649,nan
