method,target_coverage,threshold,calibration_retained_N,accepted_N,test_N,actual_coverage,target_test_used_for_selection,curve_rule,N,RMSE,MAE,NRMSE_range,Bias,R2,misroute_events,misroute_capture_rate,misroute_accepted_rate,error_ge_40ppm_events,error_ge_40ppm_capture_rate,error_ge_40ppm_accepted_rate,top5pct_error_events,top5pct_error_capture_rate,top5pct_error_accepted_rate,methane225_repeat1_events,methane225_repeat1_capture_rate,methane225_repeat1_accepted_rate,RMSE_p025,RMSE_p975,MAE_p025,MAE_p975,NRMSE_range_p025,NRMSE_range_p975
Q3_equal_mean,0.55,0.36247083135265584,,749,1360,0.5507352941176471,False,rank_deployment_visible_risk_then_retain_exact_count,749,25.530832838199377,9.271659535698724,0.21435532162274515,3.2186621499619497,0.857533960652368,32,0.71875,0.012016021361815754,48,0.6666666666666666,0.021361815754339118,68,0.6911764705882353,0.028037383177570093,17,0.7058823529411765,0.006675567423230975,,,,,,
Q3_equal_mean,0.6,0.3668514304829999,,816,1360,0.6,False,rank_deployment_visible_risk_then_retain_exact_count,816,24.577577120261765,8.869293009674555,0.20575575106318916,2.893296905928933,0.8625468998948763,32,0.71875,0.011029411764705883,48,0.6458333333333334,0.020833333333333332,68,0.6764705882352942,0.02696078431372549,17,0.7058823529411765,0.006127450980392157,,,,,,
Q3_equal_mean,0.65,0.3720262518358451,,884,1360,0.65,False,rank_deployment_visible_risk_then_retain_exact_count,884,23.868042389142275,8.67898870469601,0.19848789499149433,2.5884873234684838,0.8660502029552576,32,0.71875,0.010180995475113122,48,0.6041666666666666,0.021493212669683258,68,0.6470588235294118,0.027149321266968326,17,0.7058823529411765,0.005656108597285068,,,,,,
Q3_equal_mean,0.7,0.3776276353476365,,952,1360,0.7,False,rank_deployment_visible_risk_then_retain_exact_count,952,24.070557408247616,8.756620911339517,0.19417451524596785,2.2666013434682424,0.860981948077425,32,0.71875,0.009453781512605041,48,0.5833333333333334,0.02100840336134454,68,0.5882352941176471,0.029411764705882353,17,0.7058823529411765,0.005252100840336135,,,,,,
Q3_equal_mean,0.75,0.3855018274242532,,1020,1360,0.75,False,rank_deployment_visible_risk_then_retain_exact_count,1020,23.39510175066621,8.612028611130036,0.18809473640389024,2.0317819584933328,0.8686553819667671,32,0.71875,0.008823529411764706,48,0.5625,0.020588235294117647,68,0.5735294117647058,0.028431372549019607,17,0.7058823529411765,0.004901960784313725,,,,,,
Q3_equal_mean,0.8,0.39792511134136715,,1088,1360,0.8,False,rank_deployment_visible_risk_then_retain_exact_count,1088,22.738975875395393,8.453918840852024,0.18249695494810766,1.9655996739312358,0.8741431972675645,32,0.71875,0.008272058823529412,48,0.5625,0.019301470588235295,68,0.5735294117647058,0.02665441176470588,17,0.7058823529411765,0.004595588235294118,,,,,,
Q3_equal_mean,0.85,0.4322863507117463,,1156,1360,0.85,False,rank_deployment_visible_risk_then_retain_exact_count,1156,24.74735075303146,9.121443602024964,0.1990989071650891,2.254504877185493,0.852197002808528,32,0.625,0.010380622837370242,48,0.4375,0.023356401384083045,68,0.4411764705882353,0.0328719723183391,17,0.7058823529411765,0.004325259515570935,,,,,,
Q3_equal_mean,0.9,0.4837739129993681,,1224,1360,0.9,False,rank_deployment_visible_risk_then_retain_exact_count,1224,25.120481458471357,9.370604639756724,0.19624716627990205,2.0780783888235255,0.848242721807798,32,0.5625,0.011437908496732025,48,0.375,0.024509803921568627,68,0.38235294117647056,0.03431372549019608,17,0.6470588235294118,0.004901960784313725,,,,,,
Q3_equal_mean,0.95,0.5445917897338557,,1292,1360,0.95,False,rank_deployment_visible_risk_then_retain_exact_count,1292,25.52872536079081,9.631060581521096,0.19398621660515047,1.7420953993534896,0.8474908529382423,32,0.28125,0.01780185758513932,48,0.3125,0.025541795665634675,68,0.25,0.039473684210526314,17,0.47058823529411764,0.00696594427244582,,,,,,
Q3_equal_mean,0.975,0.6666666666666666,,1326,1360,0.975,False,rank_deployment_visible_risk_then_retain_exact_count,1326,25.43674058848206,9.752779860799116,0.19211860684633597,1.8149479752266442,0.8510947431947125,32,0.28125,0.017345399698340876,48,0.22916666666666666,0.02790346907993967,68,0.16176470588235295,0.042986425339366516,17,0.29411764705882354,0.00904977375565611,,,,,,
Q3_equal_mean,1.0,inf,,1360,1360,1.0,False,rank_deployment_visible_risk_then_retain_exact_count,1360,28.057496229689647,10.691170586712394,0.19972727686326158,1.1670805278582432,0.821260210875533,32,0.0,0.023529411764705882,48,0.0,0.03529411764705882,68,0.0,0.05,17,0.0,0.0125,,,,,,
Q0_random,0.5,random_exact_count,,680,1360,0.5,False,,,28.00993284654004,10.71035341083749,0.19887411287471987,,,32,0.499375,0.023558823529411764,48,0.4978958333333333,0.03544264705882352,68,0.49866176470588236,0.05013382352941177,17,0.4999411764705882,0.012501470588235294,22.714140354181673,32.64007917542591,9.348248067481116,12.050233112478997,0.14896431512067507,0.24295674623080132
Q0_random,0.55,random_exact_count,,749,1360,0.5507352941176471,False,,,28.007839482218408,10.689800206230059,0.1983349890537284,,,32,0.44703125,0.023624833110814418,48,0.4509375,0.035186915887850466,68,0.451,0.049842456608811744,17,0.44341176470588234,0.012632843791722298,23.556701195790634,32.2924820833441,9.519423510596296,11.947879897593014,0.15565099503435983,0.2381494183194541
