variant,prediction_key,input_dimension,class_id,gas,true_ppm,N,RMSE,MAE,R2,NRMSE
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,1,CO,200.0,34,18.705415752482285,15.669109076853,nan,0.08313518112214349
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,1,CO,225.0,34,22.67677563159831,17.71163304873344,nan,0.10078566947377025
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,1,CO,250.0,34,14.57081734958792,10.6542228722977,nan,0.06475918822039074
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,2,Ethylene,12.5,34,4.2837741582812034,1.8889481321388761,nan,0.03807799251805514
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,2,Ethylene,25.0,34,3.5229672507406886,2.2094868062128263,nan,0.03131526445102835
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,2,Ethylene,37.5,34,5.250339420683606,3.596992901292705,nan,0.04666968373940982
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,2,Ethylene,50.0,34,4.323770995878104,2.903120886540433,nan,0.03843351996336092
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,2,Ethylene,62.5,34,7.953758768345489,4.64366690212747,nan,0.07070007794084879
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,2,Ethylene,75.0,34,5.0811677109584386,3.7894700473085567,nan,0.045165935208519456
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,2,Ethylene,87.5,34,33.397233577386615,16.238438203384675,nan,0.29686429846565876
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,2,Ethylene,100.0,34,4.871482014829909,3.4117826642643925,nan,0.04330206235404364
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,2,Ethylene,112.5,34,8.284840589912609,5.182246813606659,nan,0.07364302746588985
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,2,Ethylene,125.0,34,5.437148140947769,3.4566538165380867,nan,0.0483302056973135
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,3,Methane,25.0,34,6.599006295798261,4.714346664814227,nan,0.029328916870214494
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,3,Methane,50.0,34,7.437970446175087,5.767740013985765,nan,0.03305764642744483
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,3,Methane,75.0,34,7.118733018912145,5.485654205064625,nan,0.03163881341738732
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,3,Methane,100.0,34,14.768693440056804,6.638961862267291,nan,0.06563863751136358
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,3,Methane,125.0,34,22.282215720878863,8.613403724086625,nan,0.09903206987057273
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,3,Methane,150.0,34,5.713463408229405,4.49058200141159,nan,0.0253931707032418
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,3,Methane,175.0,34,6.894634292593985,4.440776243864315,nan,0.03064281907819549
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,3,Methane,200.0,34,15.310756334182823,9.934237896808689,nan,0.06804780592970144
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,3,Methane,225.0,34,10.913588676345347,8.762231040508558,nan,0.04850483856153487
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,3,Methane,250.0,34,8.909359854791244,5.971045828755879,nan,0.039597154910183306
