seed,variant,profile,uses_H1,class_id,gas,N,RMSE,MAE,NRMSE
46,M83_SENSOR__H1,M83_SENSOR,1,1,CO,340,15.962721684792756,11.766207754652013,0.07094542971019004
46,M83_SENSOR__H1,M83_SENSOR,1,2,Ethylene,340,25.361414338000678,7.242665054299421,0.22543479411556158
46,M83_SENSOR__H1,M83_SENSOR,1,3,Methane,340,15.748851834106288,6.772386490382654,0.06999489704047239
46,M91_ONLINE_SAFE__NO_H1,M91_ONLINE_SAFE,0,0,Ethanol,340,11.629753178908278,5.351915805127131,0.10337558381251803
46,M91_ONLINE_SAFE__NO_H1,M91_ONLINE_SAFE,0,1,CO,340,22.753234917227594,17.713698182329797,0.10112548852101153
46,M91_ONLINE_SAFE__NO_H1,M91_ONLINE_SAFE,0,2,Ethylene,340,26.183871450943403,7.64477179619411,0.23274552400838583
46,M91_ONLINE_SAFE__NO_H1,M91_ONLINE_SAFE,0,3,Methane,340,16.641021144609777,7.378213510904661,0.07396009397604345
46,M91_ONLINE_SAFE__H1,M91_ONLINE_SAFE,1,0,Ethanol,340,9.380607227618864,5.071378372313652,0.08338317535661212
46,M91_ONLINE_SAFE__H1,M91_ONLINE_SAFE,1,1,CO,340,15.962721684793605,11.766207754652541,0.0709454297101938
46,M91_ONLINE_SAFE__H1,M91_ONLINE_SAFE,1,2,Ethylene,340,25.3614143341496,7.242665047815054,0.22543479408132974
46,M91_ONLINE_SAFE__H1,M91_ONLINE_SAFE,1,3,Methane,340,15.748851834107624,6.77238649038173,0.06999489704047833
46,M104_FULL__NO_H1,M104_FULL,0,0,Ethanol,340,11.629753178908167,5.351915805126735,0.10337558381251703
46,M104_FULL__NO_H1,M104_FULL,0,1,CO,340,22.75323491722763,17.713698182329818,0.10112548852101168
46,M104_FULL__NO_H1,M104_FULL,0,2,Ethylene,340,26.18387144624245,7.644771785543957,0.23274552396659956
46,M104_FULL__NO_H1,M104_FULL,0,3,Methane,340,16.641021117849622,7.378213487068072,0.07396009385710942
46,M104_FULL__H1,M104_FULL,1,0,Ethanol,340,9.380607227619697,5.071378372314424,0.08338317535661952
46,M104_FULL__H1,M104_FULL,1,1,CO,340,15.962721684791092,11.766207754650084,0.07094542971018263
46,M104_FULL__H1,M104_FULL,1,2,Ethylene,340,25.361414332657315,7.242665044592604,0.22543479406806502
46,M104_FULL__H1,M104_FULL,1,3,Methane,340,15.748851834107727,6.772386490380155,0.06999489704047879
