replicate,sampled_file_count,sampled_window_count,a4_minus_a0t_rmse,a4_minus_a0t_mean_excess_squared_error
1528,80,1378,-3.6295009995833496,-153.74560025142398
1529,80,1365,-3.616556670254681,-162.14279629186402
1530,80,1371,-1.7208651582868661,-67.62408113495545
1531,80,1354,-1.5506325783638566,-62.86754433364118
1532,80,1384,-1.241688421043344,-39.802312765692236
1533,80,1365,-4.906123441643036,-220.62120101746044
1534,80,1383,2.353046987521857,93.66617882212117
1535,80,1364,-8.225831777399328,-380.2447265665456
1536,80,1352,-1.2399489260549785,-42.31431607520804
1537,80,1359,-1.813541499522266,-81.96329701789202
1538,80,1349,-12.374519202734543,-696.3186291823123
1539,80,1348,3.2107763333640698,117.91598226408831
1540,80,1378,-4.436892066352254,-212.63335512772838
1541,80,1360,-4.67980580233392,-186.8515822349108
1542,80,1357,-2.834031637726545,-96.88526412986343
1543,80,1356,2.2871538025776736,84.72088001305329
1544,80,1355,-3.012897543191304,-132.69157976027157
1545,80,1355,-6.321636289074728,-306.93364417557063
1546,80,1337,-10.89816925294107,-493.89606911675094
1547,80,1346,0.8538236701145099,26.75528787216018
1548,80,1353,-4.542080099351608,-195.98177068643264
1549,80,1370,-4.551398257679143,-200.68931787646466
1550,80,1370,2.306617401338684,92.76866985660791
1551,80,1335,-7.630459053473043,-324.88223859259597
1552,80,1365,-3.0297364248889416,-107.99870849868962
1553,80,1356,-2.57258931989519,-89.50715749001421
1554,80,1371,-3.81862695387818,-153.5384138913243
1555,80,1334,-8.357581293549053,-341.0151861717615
1556,80,1350,-3.3302423877218033,-154.82773264009117
1557,80,1367,-5.084321152025005,-191.78974831034196
1558,80,1373,1.5095956871494565,57.46708241670538
1559,80,1364,-9.231989522234196,-367.0066613195007
1560,80,1376,-4.047476895258399,-162.3662047616545
1561,80,1353,-4.668024276489174,-172.81199329186262
1562,80,1356,-3.1578338091145284,-148.3193297888025
1563,80,1351,-8.38667907024363,-370.53953132656875
1564,80,1359,-10.054805275727183,-436.3048209160448
1565,80,1360,-8.899939734326676,-354.9472211792463
1566,80,1355,2.733530687867752,118.72894146330029
1567,80,1338,-1.425989472794054,-52.208100290135135
