step,method,source_ce,raw_alignment,weighted_alignment,total_loss,alignment_scope,active_alignment,target_fields,target_label_object_present,target_ce_status,class_conditional_status,phase_conditional_status,concentration_status,pseudo_label_status,dann_objective,optimizer,optimizer_lr,alignment_weight,source_checkpoint_ordered_fingerprint
42,dann,0.20003168284893036,0.6902627944946289,0.34513139724731445,0.545163094997406,unconditional_global,dann,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,GRL_binary_BCE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
43,dann,0.003031566273421049,0.6876355409622192,0.3438177704811096,0.34684932231903076,unconditional_global,dann,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,GRL_binary_BCE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
44,dann,0.19535914063453674,0.6921402215957642,0.3460701107978821,0.5414292812347412,unconditional_global,dann,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,GRL_binary_BCE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
45,dann,0.003077857894822955,0.6968345046043396,0.3484172523021698,0.3514951169490814,unconditional_global,dann,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,GRL_binary_BCE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
46,dann,0.0027350482996553183,0.6892212629318237,0.34461063146591187,0.3473456799983978,unconditional_global,dann,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,GRL_binary_BCE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
47,dann,0.17933519184589386,0.693202018737793,0.3466010093688965,0.5259361863136292,unconditional_global,dann,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,GRL_binary_BCE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
48,dann,0.1791376769542694,0.6901102066040039,0.34505510330200195,0.5241928100585938,unconditional_global,dann,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,GRL_binary_BCE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
49,dann,0.0038236617110669613,0.6881179809570312,0.3440589904785156,0.3478826582431793,unconditional_global,dann,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,GRL_binary_BCE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
50,dann,0.003046782687306404,0.6899418830871582,0.3449709415435791,0.34801772236824036,unconditional_global,dann,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,GRL_binary_BCE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
51,dann,0.0032263477332890034,0.6929441690444946,0.3464720845222473,0.34969842433929443,unconditional_global,dann,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,GRL_binary_BCE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
52,dann,0.002779821865260601,0.6879653930664062,0.3439826965332031,0.3467625081539154,unconditional_global,dann,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,GRL_binary_BCE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
53,dann,0.0024753089528530836,0.6911881566047668,0.3455940783023834,0.3480693995952606,unconditional_global,dann,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,GRL_binary_BCE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
54,dann,0.0026229717768728733,0.6890658140182495,0.34453290700912476,0.3471558690071106,unconditional_global,dann,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,GRL_binary_BCE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
55,dann,0.002233150415122509,0.6944073438644409,0.34720367193222046,0.34943681955337524,unconditional_global,dann,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,GRL_binary_BCE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
