replicate,sampled_raw_file_count,sampled_window_count,cost_minus_argmax_rmse
459,80,1351,-0.11228910092459898
460,80,1371,-1.0363461631884405
461,80,1360,-0.45859009228076175
462,80,1346,1.3617789700946439
463,80,1353,-1.8343749749107836
464,80,1347,-1.8815863367318002
465,80,1358,1.3418227351539542
466,80,1348,-1.011397785827345
467,80,1353,2.82927047105947
468,80,1361,-0.7111738163490031
469,80,1355,0.07141904704273472
470,80,1355,-1.0066624673814033
471,80,1364,-0.5594000834292814
472,80,1343,0.5857219568672924
473,80,1345,-1.904375632564303
474,80,1365,-0.1711009319215826
475,80,1373,2.5622251864715615
476,80,1376,-0.19471312496681037
477,80,1364,0.7211094118749557
478,80,1341,-0.6657585637096979
479,80,1357,-1.7385139605876319
480,80,1360,2.049550248518596
481,80,1365,0.23301525049920713
482,80,1373,-0.1888657435688792
483,80,1365,2.6045665533121216
484,80,1339,-1.6712852146614203
485,80,1354,-1.1872880184079335
486,80,1372,-0.6219289337758731
487,80,1355,-1.3369697103249933
488,80,1362,-3.562276561293629
489,80,1387,0.045880119378566064
490,80,1360,-0.7710719755045332
491,80,1353,1.3211606511717484
492,80,1370,-0.9802658803419462
493,80,1368,1.8481528988975278
494,80,1360,0.19687017914765903
495,80,1365,0.8103540410939658
496,80,1365,-1.1691698268292576
497,80,1351,0.5000867633542576
498,80,1356,1.484546908120624
499,80,1358,1.9517736407776312
500,80,1374,0.10044647017971897
501,80,1347,0.04875328665402279
502,80,1369,0.2299077425360352
503,80,1364,0.7761691786450626
504,80,1356,1.6060430133777395
505,80,1354,0.6315106737203315
506,80,1343,-0.9494366218960906
507,80,1361,-1.3810991777312331
508,80,1374,2.2169867116197572
509,80,1344,1.5328911978448865
510,80,1372,0.8782708104418688
511,80,1357,2.4743773327183405
512,80,1337,-0.2603055787505433
513,80,1354,-3.24578802043591
514,80,1375,-1.325696955773811
515,80,1371,-1.2990734588554247
516,80,1379,-2.3350540829063036
517,80,1356,-1.5555999136760335
518,80,1350,1.2465770887042176
519,80,1343,1.8178295131014899
520,80,1361,0.8188318267014871
521,80,1364,-0.5936222111053624
522,80,1355,0.8190927174826861
523,80,1366,-0.1257770800744069
524,80,1351,0.39639644835532195
